sample	sms	morph	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
sample_SMS119_164_S	SMS119	S	0.0786799	-0.0131987	0.0939734	0.104398	0.0346539	-0.0100609	0.00381681	0.00799796	0.00806586	0.00443093	-0.0302585	0.0164055	0.101766	0.116451	-0.0336591	0.0572171	-0.0791484	0.103959	-0.115934	0.0861593
sample_SMS119_165_L	SMS119	L	0.0791758	-0.0115257	0.102967	0.0844249	0.00345269	-0.00274315	0.000977127	-0.00568089	-0.0139774	-0.00708237	0.0650863	0.0407775	-0.0485598	-0.0829495	0.00472051	-0.0119978	0.0592468	-0.0309719	0.0469717	-0.0838752
sample_SMS119_17_S	SMS119	S	0.0786203	-0.00851355	0.087005	0.104494	0.023222	-0.00709639	-0.00485689	0.000930528	0.00316409	0.0168548	-0.0362025	0.00790315	0.0669388	0.0570392	-0.0439506	0.0455224	-0.0992678	0.0926899	-0.0282326	0.122376
sample_SMS119_18_L	SMS119	L	0.0802547	-0.0104819	0.0883389	0.108877	0.0253529	-0.01005	-0.00428218	-0.00711163	-0.00175972	0.056969	-0.0450813	-0.0412153	0.00868873	0.0376742	0.0167144	-0.0554529	-0.0918355	0.0528793	0.0897927	0.0767534
sample_SMS119_19_L	SMS119	L	0.0784914	-0.00934087	0.0887011	0.0924873	0.0265668	-0.00161574	0.000416449	-0.00507612	-0.000408531	0.0110925	0.0587126	0.0342894	0.00407521	-0.00241687	-0.0180438	-0.000557664	0.0174398	-0.0339744	-0.0345321	0.0579981
sample_SMS119_2_L	SMS119	L	0.0775109	-0.012829	0.105197	0.0826252	0.0189426	0.00379153	0.00139681	-0.00608401	-0.0183017	-0.038105	0.0187571	0.0107181	-0.0223335	-0.0343163	0.0330863	0.00919141	0.0552646	-0.0814418	0.050648	-0.10501
sample_SMS119_20_L	SMS119	L	0.0795118	-0.00972796	0.0939236	0.090391	0.0305012	-0.00496701	-0.00150078	-0.00531681	-0.00479	0.044928	0.0451402	0.0192747	0.0247724	0.0750835	0.00972348	-0.0304088	-0.0116772	-0.028715	0.023709	0.0639547
sample_SMS119_3_S	SMS119	S	0.0764745	-0.00943792	0.0953512	0.091673	0.0146566	0.000104657	-0.00259817	0.00318799	-0.0147482	-0.0348585	0.0273988	0.019655	-0.0330614	-0.102918	-0.0234587	0.0581022	0.0431065	-0.0199989	-0.00756176	-0.0405169
sample_SMS119_4_S	SMS119	S	0.0787998	-0.0115455	0.0931318	0.0965608	0.0135054	-0.00407865	-0.00222059	0.00370563	-0.0145991	-0.0209267	0.0288839	0.0338246	-0.0127891	-0.100798	-0.0615766	0.0801958	0.0120183	0.0109254	-0.0301852	-0.0284897
sample_SMS119_5_L	SMS119	L	0.0795875	-0.0121451	0.0952481	0.105141	0.0235019	-0.0068561	-0.00414673	-0.0100965	-0.0226194	0.017224	-0.0496226	-0.069818	-0.0755521	-0.0368201	0.0117719	-0.0394831	0.0355438	-0.0109903	0.00778211	-0.0156911
