CHR	CHR	CHR	CHR	CHR	CHR
POS	POS	POS	POS	POS	POS
family_6	sample_SMS109_10_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_11_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_12_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_1_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_2_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_3_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_4_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_53_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_54_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_55_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_56_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_57_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_58_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_59_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_5_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_60_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_61_L	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
family_6	sample_SMS109_62_S	sample_SMS10_2S_206_S_replicate2	sample_SMS10_6L_208_L_replicate1	0	0
